PLAYER,TEAM,DFGM,DFGA,DFG%,FG%,MIN,SCREEN ASSISTS,SCREEN ASSISTS PTS,DEFLECTIONS,OFF LOOSE BALLS RECOVERED,DEF LOOSE BALLS RECOVERED,LOOSE BALLS RECOVERED,RECOVERED OFF,RECOVERED DEF,CHARGES DRAWN,CONTESTED 2PT SHOTS,CONTESTED 3PT SHOTS,TOTAL CONTESTED SHOTS,DIST. FEET,FEET PER MIN,DIST. MILES,DIST. MILES OFF,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF
Marcus Smart,BOS,5.2,10.7,48.2,46.8,32.1,0.8,1.9,2.6,0.3,0.4,0.8,41.3,58.7,0.18,1.9,2.3,4.2,11306.4,352.22,2.14,1.14,1,3.75,4.05,3.46
Cole Anthony,ORL,4.9,10.7,45.8,46.5,25.9,0.2,0.4,1.1,0.3,0.3,0.6,47.4,52.6,0.03,1.8,1.8,3.5,10809.4,417.35,2.05,1.1,0.95,4.41,4.79,4.04
Patrick Beverley,CHI,5.4,10.6,51.1,47.4,27.1,0.3,0.8,1.9,0.3,0.2,0.5,57.6,42.4,0.31,1.7,1.7,3.4,10590.7,390.80,2.01,1.04,0.96,4.19,4.38,4
Kris Dunn,UTA,4.7,10.6,44.6,46.2,25.8,0.3,0.8,2.8,0.2,0.3,0.5,45.5,54.5,0,1.6,2.6,4.2,10457.9,405.34,1.98,1.05,0.93,4.25,4.73,3.81
Xavier Tillman,MEM,5,10.5,47.7,49.1,19.3,2.7,5.7,1.6,0.3,0.3,0.5,54.5,45.5,0,4.3,1.9,6.2,7816.6,405.01,1.48,0.77,0.71,4.29,4.56,4.04
Delon Wright,WAS,5.2,10.5,49.3,46.8,24.4,0.3,0.8,3.2,0.3,0.3,0.6,53.1,46.9,0.06,1.6,1.1,2.7,9726.2,398.61,1.84,1.01,0.83,4.19,4.41,3.95
Jalen McDaniels,PHI,4.9,10.5,46.7,47.2,23.9,0.3,0.8,2,0.2,0.2,0.4,53.1,46.9,0,2.5,2.4,4.9,9981.5,417.64,1.89,1.02,0.87,4.41,4.82,4.01
Thomas Bryant,DEN,5.8,10.5,55,50.1,18.3,2,4.3,0.5,0.1,0.1,0.3,50,50,0,5.2,0.9,6.1,7003.9,382.73,1.33,0.71,0.62,4.09,4.38,3.8
Tobias Harris,PHI,4.8,10.5,46,47.6,32.9,0.2,0.5,1.4,0.3,0.3,0.6,46.7,53.3,0,2.1,1.6,3.7,12291.8,373.61,2.33,1.24,1.09,3.98,4.14,3.81
Ben Simmons,BKN,4.9,10.5,47,48.8,26.3,2.8,6.9,2.6,0.2,0.3,0.6,41.7,58.3,0.07,2.6,1.3,3.9,9716.2,369.44,1.84,0.97,0.87,3.93,4.32,3.58
Moritz Wagner,ORL,5.2,10.4,50.1,49.1,19.5,2.6,5.5,1.3,0.2,0.2,0.4,40.9,59.1,0.3,2.7,1.4,4.2,7727.7,396.29,1.46,0.79,0.67,4.19,4.56,3.84
Reggie Jackson,DEN,4.9,10.4,47.1,45.9,24.4,0.4,0.9,1,0.2,0.3,0.5,45.5,54.5,0.04,1.8,2.3,4.1,9201.9,377.13,1.74,0.96,0.79,4.02,4.35,3.67
Corey Kispert,WAS,5.3,10.4,50.8,46.3,28.3,0.5,1.1,0.8,0.1,0.2,0.3,43.5,56.5,0,2.9,1.7,4.5,11568.3,408.77,2.19,1.23,0.96,4.34,4.77,3.88
Bennedict Mathurin,IND,5,10.3,48.5,47.1,28.5,0.3,0.6,1.2,0.3,0.3,0.6,52.2,47.8,0.03,1.4,1.6,3,11364.2,398.74,2.15,1.14,1.01,4.21,4.52,3.9
Aaron Nesmith,IND,5.4,10.3,52.3,48,24.9,0.4,1,1.5,0.1,0.3,0.5,32.4,67.6,0.16,3.4,2,5.4,10220.3,410.45,1.94,1,0.93,4.36,4.66,4.08
Dennis Smith Jr.,CHA,4.5,10.3,43.3,46.5,25.7,0.2,0.5,2.6,0.2,0.3,0.6,40.6,59.4,0.04,2.4,2.3,4.7,10330,401.95,1.96,1.04,0.92,4.24,4.56,3.92
Grant Williams,BOS,5.1,10.3,49.3,47.4,25.9,0.9,2.2,0.9,0.3,0.2,0.5,65.1,34.9,0.08,2.9,1.7,4.6,9652.7,372.69,1.83,0.96,0.87,3.95,4.09,3.81
Naz Reid,MIN,4.9,10.3,47.9,49.2,18.4,1.7,4,1.3,0.2,0.2,0.3,50,50,0.07,4.2,1.7,5.9,7371.8,400.64,1.4,0.74,0.66,4.24,4.58,3.91
Markelle Fultz,ORL,5,10.3,48.9,46.7,29.6,0.4,0.9,2.3,0.4,0.5,0.9,42.3,57.7,0,2,1.9,4,12465.5,421.13,2.36,1.26,1.1,4.48,4.86,4.12
Joshua Primo,SAS,5.5,10.3,53.7,45.2,23.3,0,0,0.5,0.5,0.3,0.8,66.7,33.3,0,2.5,1,3.5,9947,426.91,1.88,1.08,0.81,4.47,5.07,3.87
Marcus Morris Sr.,LAC,5,10.2,48.4,47.5,28.1,0.5,1.1,1.1,0.1,0.3,0.5,24.1,75.9,0,1.9,1.2,3.1,10046.8,357.54,1.9,1.02,0.89,3.81,4.02,3.59
Grayson Allen,MIL,5,10.2,49,46.6,27.4,0.2,0.5,1.6,0.2,0.3,0.5,44.7,55.3,0.04,2,1.5,3.5,11235.9,410.07,2.13,1.14,0.99,4.38,4.7,4.06
Donovan Mitchell,CLE,4.9,10.1,48.8,46.4,35.8,0.2,0.4,2.4,0.5,0.5,1,52.1,47.9,0.03,1.4,2.1,3.5,12607.5,352.16,2.39,1.32,1.07,3.74,4.07,3.39
Tyrese Haliburton,IND,5,10.1,49.5,46.6,33.6,0.1,0.2,2.6,0.3,0.4,0.8,42.9,57.1,0.02,1.4,2.2,3.6,13544,403.10,2.57,1.43,1.13,4.28,4.91,3.68
Reggie Bullock Jr.,DAL,5,10.1,49.8,47.3,30.3,0.7,1.5,1.3,0.2,0.2,0.4,45.2,54.8,0,1.6,1.3,2.9,11411.9,376.63,2.16,1.14,1.03,4,4.05,3.95
James Wiseman,DET,5.6,10,56.4,49.9,19.3,2.2,4.8,0.3,0.2,0,0.2,87.5,12.5,0,5.3,1.5,6.7,7688,398.34,1.46,0.77,0.69,4.26,4.47,4.04
Cam Reddish,POR,4.9,10,49.1,46.9,24.7,0.1,0.1,2,0.2,0.3,0.5,33.3,66.7,0,2.3,2.7,5,9899.5,400.79,1.87,0.97,0.9,4.24,4.4,4.08
Torrey Craig,PHX,4.4,9.9,44.1,47.5,24.7,0.5,1.3,1.3,0.3,0.3,0.5,51.2,48.8,0.04,3.1,2.3,5.3,10345.8,418.86,1.96,1.04,0.92,4.46,4.7,4.22
Isaiah Hartenstein,NYK,4.7,9.9,47.6,49.6,19.9,2.1,4.8,1.3,0.2,0.2,0.5,51.3,48.7,0.04,4.9,1.1,6,8332.6,418.72,1.58,0.86,0.72,4.42,4.73,4.11
Gabe Vincent,MIA,4.5,9.9,45,45.5,25.9,0.4,0.8,1.9,0.2,0.2,0.4,51.9,48.1,0.12,1.8,2.3,4.1,10147.1,391.78,1.92,1.05,0.87,4.17,4.56,3.77
Jaylin Williams,OKC,5.5,9.9,55.9,50,18.7,1.8,3.9,0.9,0.2,0.2,0.5,50,50,0.88,4.4,1.6,5.9,7015.5,375.16,1.33,0.73,0.6,4.04,4.37,3.72
Coby White,CHI,4.8,9.9,48.3,46,23.4,0.2,0.3,0.9,0.1,0.4,0.5,27.5,72.5,0.11,2.1,2.3,4.5,8946,382.31,1.69,0.87,0.83,4.04,4.27,3.83
Gordon Hayward,CHA,4.4,9.9,44.4,47.6,31.5,0.5,1.3,1.8,0.2,0.2,0.4,45,55,0,3.1,2,5.1,12752.6,404.84,2.42,1.33,1.08,4.29,4.79,3.81
Precious Achiuwa,TOR,5,9.8,50.4,48.8,20.7,1.4,3.2,1.1,0.3,0.3,0.6,53.3,46.7,0.02,4.1,2,6.1,8146.3,393.54,1.54,0.81,0.73,4.15,4.35,3.96
Russell Westbrook,LAC,4.4,9.8,44.8,47.4,29.1,0.3,0.6,1.8,0.4,0.3,0.7,54,46,0.07,1.8,1.8,3.5,10688,367.29,2.02,1.11,0.91,3.9,4.34,3.46
P.J. Tucker,PHI,4.6,9.8,46.8,48.6,25.6,0.9,2.4,1.2,0.2,0.3,0.5,48.6,51.4,0.07,2.2,2,4.3,9801,382.85,1.86,0.96,0.89,4.1,4.17,4.02
Jeremiah Robinson-Earl,OKC,5,9.8,51.2,48.4,18.9,1.3,2.9,0.7,0.2,0.1,0.3,66.7,33.3,0.02,3.8,1.6,5.3,8044.9,425.66,1.52,0.82,0.71,4.53,5.04,4.05
Jordan Poole,GSW,4.6,9.8,47.1,46.5,30,0.3,0.9,1.7,0.3,0.3,0.6,57.1,42.9,0.04,1.3,2.3,3.6,11548,384.93,2.19,1.25,0.94,4.08,4.72,3.46
Jonathan Kuminga,GSW,4.4,9.8,44.9,47.3,20.8,0.8,2,1.3,0.3,0.1,0.4,65.4,34.6,0.03,2.7,2.1,4.8,8636.4,415.21,1.64,0.87,0.77,4.39,4.71,4.07
Klay Thompson,GSW,4.7,9.8,47.6,47.8,33,0.3,0.8,1.4,0.1,0.3,0.4,28,72,0,2.4,1.6,4.1,13021.8,394.60,2.47,1.35,1.12,4.17,4.68,3.69
Ayo Dosunmu,CHI,4.4,9.8,45.3,46.4,26.2,0.2,0.5,1.4,0.2,0.3,0.6,40,60,0.01,2.7,2.5,5.2,10789.3,411.81,2.04,1.05,1,4.38,4.64,4.14
Keegan Murray,SAC,4.9,9.7,50.3,47.2,29.8,0.4,0.9,1.3,0.3,0.2,0.5,57.9,42.1,0.13,3.3,2.1,5.4,12212.1,409.80,2.31,1.23,1.09,4.37,4.76,4
Jalen Suggs,ORL,4.5,9.7,45.8,46.9,23.5,0.1,0.2,2.4,0.3,0.3,0.6,50,50,0.15,2,2.5,4.5,9325.6,396.83,1.77,0.94,0.83,4.18,4.47,3.9
Jalen Williams,OKC,5.2,9.7,53.3,47.4,30.3,0.3,0.8,2.1,0.3,0.3,0.7,51,49,0.08,3.3,1.4,4.7,12842.4,423.84,2.43,1.32,1.12,4.5,5.04,3.99
Monte Morris,WAS,4.8,9.7,49.4,46.9,27.4,0.2,0.6,1.3,0.3,0.3,0.6,47.1,52.9,0.08,1.1,1.5,2.6,10607.4,387.13,2.01,1.13,0.88,4.13,4.51,3.71
Trendon Watford,POR,4.9,9.7,50.7,47.9,19.1,1.3,3,1.1,0.1,0.1,0.2,50,50,0.11,2.4,1.8,4.2,7293.8,381.87,1.38,0.76,0.62,4.05,4.35,3.72
Devin Vassell,SAS,5,9.6,51.9,46.9,31,0.1,0.2,2,0.1,0.4,0.6,23.8,76.2,0,2.3,1.2,3.5,13087.5,422.18,2.48,1.4,1.08,4.47,5.03,3.9
Bol Bol,ORL,4.5,9.5,47.1,47.7,21.5,0.5,1.1,0.7,0.2,0.1,0.3,59.1,40.9,0,3.1,2.9,6,8400.9,390.74,1.59,0.82,0.77,4.15,4.32,3.98
Isaiah Jackson,IND,4.5,9.4,47.7,49.1,16.5,2,4.6,1.1,0.3,0.1,0.4,65.4,34.6,0.02,4.9,1.7,6.6,6745.9,408.84,1.28,0.67,0.6,4.3,4.7,3.93
John Konchar,MEM,4.2,9.4,44.3,46.1,20.7,0.2,0.6,2,0.2,0.2,0.4,44.8,55.2,0.1,1.9,1.8,3.7,8838.9,427.00,1.67,0.86,0.81,4.49,4.67,4.33
Tyrese Maxey,PHI,4.5,9.4,47.2,46.1,33.6,0.2,0.4,1.1,0.2,0.3,0.5,34.4,65.6,0.02,1.4,2,3.5,13598.9,404.73,2.58,1.4,1.17,4.31,4.58,4.03
Khris Middleton,MIL,4.2,9.4,44.1,46.2,24.3,0.1,0.1,1.3,0.5,0.1,0.6,75,25,0.09,1.6,1.6,3.2,9303.5,382.86,1.76,0.95,0.81,4.08,4.53,3.65
Kentavious Caldwell-Pope,DEN,4.8,9.4,50.6,46.4,31.3,0.3,0.7,2.6,0.2,0.4,0.6,39.1,60.9,0.01,1.2,1.1,2.3,11614.9,371.08,2.2,1.14,1.06,3.94,4.12,3.77
Isaiah Livers,DET,4.3,9.3,46.2,46.8,23.1,0.1,0.3,0.9,0.1,0.4,0.5,29.6,70.4,0.02,4,2.1,6.1,9366.1,405.46,1.77,0.93,0.85,4.31,4.49,4.12
Jalen Smith,IND,4.5,9.3,48.2,49.1,18.8,1.5,3.4,0.4,0.1,0.1,0.2,43.8,56.3,0.1,4.1,2,6.1,7764.8,413.02,1.47,0.78,0.69,4.39,4.73,4.06
Luka Samanic,UTA,4.6,9.3,49.2,49.1,23,0.7,1.4,1.6,0,0,0,0,0,0,2.7,1.3,4,9374.9,407.60,1.78,0.93,0.84,4.33,4.94,3.82
Keita Bates-Diop,SAS,4.3,9.2,46.2,47.8,21.7,0.3,0.7,1.4,0.2,0.2,0.3,52.2,47.8,0,2.3,1.6,3.8,9035.3,416.37,1.71,0.93,0.78,4.41,4.8,4.01
Chris Duarte,IND,4.3,9.2,46.7,46.4,19.5,0.2,0.4,0.9,0.1,0.3,0.4,36.8,63.2,0.04,1.8,2,3.7,8366.7,429.06,1.58,0.84,0.75,4.54,4.91,4.19
Dyson Daniels,NOP,4,9.1,44.4,46.7,17.7,0.1,0.3,1.5,0.2,0.2,0.4,45.8,54.2,0.05,2.7,1.9,4.6,7192.7,406.37,1.36,0.72,0.64,4.31,4.65,3.98
Aaron Wiggins,OKC,4.7,9.1,51.2,46.1,18.5,0.6,1.3,1.2,0.3,0.2,0.5,60.6,39.4,0.01,2.9,1.9,4.7,7937.8,429.07,1.5,0.8,0.71,4.55,4.94,4.18
Lonnie Walker IV,LAL,4.5,9,49.4,46.5,23.2,0.1,0.2,0.7,0.1,0.2,0.3,33.3,66.7,0.02,1.9,2.4,4.3,8743.5,376.88,1.66,0.85,0.8,4.06,4.22,3.91
Pat Connaughton,MIL,3.7,9,41.2,47.2,23.7,0.3,0.7,0.9,0.2,0.2,0.4,56.5,43.5,0.02,2,2.2,4.2,9481.5,400.06,1.8,0.96,0.83,4.26,4.65,3.89
Anthony Lamb,GSW,4,9,44.1,46.7,19.3,0.7,1.8,0.9,0.3,0.2,0.4,59.3,40.7,0.1,3.6,1.8,5.4,7903.9,409.53,1.5,0.84,0.66,4.35,4.92,3.79
Nate Williams,POR,5.2,9,57.8,48.9,25.3,0,0,1,0.6,0.2,0.8,75,25,0,1.4,1.6,3,9639,380.99,1.83,0.88,0.95,4.38,4.2,4.56
Malcolm Brogdon,BOS,4.3,8.9,48.4,46.9,26,0.1,0.3,1.1,0.3,0.4,0.6,41.5,58.5,0,2.2,1.7,3.8,9790.1,376.54,1.85,1.03,0.83,3.98,4.4,3.55
Malik Beasley,LAL,4.4,8.8,49.3,47,25.8,0.4,0.9,1.2,0.1,0.2,0.4,36.7,63.3,0.01,1.2,1.4,2.6,9630.7,373.28,1.82,1.01,0.82,3.94,4.24,3.63
Michael Porter Jr.,DEN,4.2,8.8,48.3,47.2,29,0.2,0.5,1.3,0.2,0.3,0.5,42.9,57.1,0,2.2,1.4,3.6,10895,375.69,2.06,1.07,1,4.01,4.14,3.89
Terance Mann,LAC,4.3,8.7,48.7,47.7,23.1,0.4,1,1.3,0.3,0.1,0.4,70,30,0.01,1.9,0.9,2.9,9300.1,402.60,1.76,0.93,0.83,4.25,4.42,4.08
Tari Eason,HOU,4.2,8.7,48.7,46.8,21.6,0.2,0.6,2,0.4,0.4,0.9,50,50,0,2.3,2,4.4,8524.9,394.67,1.61,0.87,0.75,4.18,4.38,3.96
Justise Winslow,POR,4,8.7,45.6,47.7,26.8,0.3,0.9,1.8,0.2,0.1,0.3,66.7,33.3,0.14,2.1,1.4,3.5,10341.1,385.86,1.96,1.06,0.9,4.08,4.27,3.88
Mo Bamba,LAL,4,8.6,46.8,48.9,15.7,2,4.5,0.5,0.2,0.1,0.3,68.8,31.3,0,3.3,1.8,5.1,5854.1,372.87,1.11,0.6,0.51,3.98,4.2,3.76
Nicolas Batum,LAC,4.2,8.6,48.8,47.4,21.9,0.7,1.7,1.5,0.1,0.2,0.3,34.6,65.4,0.03,2.8,2,4.8,8709.4,397.69,1.65,0.84,0.81,4.18,4.24,4.12
Kenyon Martin Jr.,HOU,4.1,8.6,47.6,47,28,0.8,1.8,0.8,0.3,0.2,0.5,59,41,0.01,1.9,2,3.9,10029.3,358.19,1.9,1,0.89,3.8,3.9,3.69
Jordan Goodwin,WAS,4.2,8.6,48.4,46.4,17.8,0.1,0.3,1.8,0.3,0.3,0.6,56.8,43.2,0.02,1.6,1.7,3.3,7566.4,425.08,1.43,0.78,0.65,4.47,4.79,4.13
Darius Bazley,PHX,4.1,8.6,47.6,48.2,14.3,0.9,2,0.8,0.1,0.1,0.2,57.1,42.9,0,2.9,2.2,5.1,5800.7,405.64,1.1,0.58,0.52,4.31,4.74,3.92
Ochai Agbaji,UTA,3.7,8.5,43.5,46.6,20.5,0.3,0.8,0.8,0.1,0.2,0.4,42.9,57.1,0.02,2,2.1,4.1,8349.3,407.28,1.58,0.86,0.72,4.3,4.71,3.9
Shaedon Sharpe,POR,4.3,8.5,50.4,46.8,22.2,0.1,0.3,0.8,0.1,0.1,0.3,50,50,0.04,1.3,2,3.3,8844.6,398.41,1.68,0.89,0.79,4.21,4.38,4.03
Cody Martin,CHA,4.7,8.5,54.9,46.7,19.1,0.3,0.7,1.6,0.4,0.1,0.6,75,25,0,1,1.9,2.9,8315.4,435.36,1.57,0.84,0.73,4.57,4.86,4.28
Naji Marshall,NOP,4.1,8.4,48.5,47.3,23.3,0.2,0.4,1.4,0.1,0.1,0.3,50,50,0.01,1.7,1.6,3.3,9166.2,393.40,1.74,0.92,0.82,4.16,4.38,3.93
Jose Alvarado,NOP,3.7,8.4,43.7,46.2,21.5,0.3,0.6,2.2,0.2,0.4,0.6,32.4,67.6,0.11,0.9,1.3,2.2,9076.8,422.18,1.72,0.9,0.82,4.47,4.7,4.25
Jae'Sean Tate,HOU,3.5,8.4,41.9,46.8,21.9,1,2.5,1.4,0.4,0.2,0.6,66.7,33.3,0.32,1.9,2.4,4.3,8556.4,390.70,1.62,0.88,0.74,4.1,4.39,3.81
Wenyen Gabriel,LAL,3.9,8.4,46.2,48.8,15.1,1.6,3.7,1.1,0.3,0.2,0.5,65.6,34.4,0,4.8,1.1,5.8,6106.5,404.40,1.16,0.63,0.53,4.31,4.72,3.9
Kevin Love,MIA,4.2,8.4,49.7,48.7,20,1,2.3,0.7,0.2,0.2,0.3,47.6,52.4,0.53,1.6,1.3,3,7195.1,359.76,1.36,0.73,0.63,3.83,3.99,3.66
Chuma Okeke,ORL,4,8.4,47.8,47,19.2,0.1,0.1,1.4,0.2,0.1,0.3,75,25,0,1.8,1.9,3.6,7722.3,402.20,1.46,0.77,0.69,4.26,4.4,4.11
Gary Trent Jr.,TOR,4.1,8.3,49.5,46.5,32.1,0.2,0.4,2.7,0.2,0.4,0.7,34.1,65.9,0,0.9,1.3,2.3,11990.9,373.55,2.27,1.19,1.08,3.95,4.16,3.75
Talen Horton-Tucker,UTA,3.8,8.3,46.1,46.5,20.2,0.2,0.5,1.3,0.2,0.2,0.5,51.7,48.3,0.05,1.3,1.1,2.4,7736.2,382.98,1.47,0.82,0.65,4.04,4.5,3.58
Josh Richardson,NOP,4.2,8.2,50.6,46.7,23.5,0.3,0.7,2,0.2,0.2,0.4,53.8,46.2,0.02,1.3,1,2.3,9651.1,410.69,1.83,1.01,0.82,4.31,4.77,3.85
Jae Crowder,MIL,3.9,8.2,48,46.5,18.9,0.6,1.3,1.3,0.2,0.1,0.3,60,40,0,1.3,1.3,2.6,7547.9,399.36,1.43,0.78,0.65,4.24,4.66,3.82
Larry Nance Jr.,NOP,4.2,8.2,50.8,49.2,21.2,2.5,5.7,1.9,0.3,0.2,0.5,58.1,41.9,0.17,2.7,1.2,3.9,8116.1,382.83,1.54,0.81,0.72,4.01,4.28,3.74
Rui Hachimura,LAL,3.3,8.2,40.8,47.2,23.3,0.3,0.8,0.9,0.2,0.1,0.4,60.9,39.1,0.03,2.4,2,4.3,9238.8,396.52,1.75,0.95,0.8,4.2,4.5,3.9
Jarrett Culver,ATL,4.6,8.1,56.9,47.4,13.7,0.3,0.6,1,0.3,0.1,0.4,75,25,0.2,1.5,1.4,2.9,5399.8,394.15,1.02,0.55,0.47,4.12,4.31,3.92
Luke Kornet,BOS,3.9,8.1,47.7,48.4,11.7,1.6,4.1,0.3,0.1,0.1,0.2,66.7,33.3,0,4.3,1,5.3,4610,394.02,0.87,0.47,0.4,4.19,4.4,3.96
Bismack Biyombo,PHX,3.8,8.1,46.6,50.4,14.3,2.3,5.1,0.7,0.2,0.1,0.3,61.1,38.9,0,4.9,0.8,5.7,5551.5,388.22,1.05,0.56,0.49,4.1,4.29,3.93
Josh Okogie,PHX,3.7,8.1,46,47.2,18.8,0.3,0.7,1.9,0.2,0.2,0.4,42.9,57.1,0.07,1.6,1.3,2.9,7637.8,406.27,1.45,0.74,0.71,4.31,4.36,4.24
Sandro Mamukelashvili,SAS,4.2,8.1,51.3,48,15.3,1.3,2.8,0.6,0.2,0.2,0.4,47.4,52.6,0.02,2.5,1.4,3.9,6293,411.31,1.19,0.67,0.53,4.45,4.79,4.09
Brandon Clarke,MEM,3.6,8.1,44.9,48.5,19.5,2.4,5.5,1.3,0.2,0.1,0.3,56.3,43.8,0.02,3.7,1.1,4.8,8108.9,415.84,1.54,0.81,0.73,4.37,4.68,4.07
Lamar Stevens,CLE,3.4,8.1,42.2,47.1,18.1,0.4,0.9,0.9,0.2,0.2,0.4,52,48,0,2.3,2,4.3,7041.2,389.02,1.33,0.69,0.65,4.12,4.2,4.05
Jock Landale,PHX,3.8,8.1,46.7,49.2,14.2,2.1,4.9,0.7,0.1,0,0.2,76.9,23.1,0,4,1.2,5.2,5626.8,396.25,1.07,0.56,0.5,4.18,4.4,3.96
Yuta Watanabe,BKN,4,8.1,48.9,47.3,16,0.2,0.6,0.6,0.2,0.1,0.3,66.7,33.3,0.02,2.6,1.7,4.4,6401.6,400.10,1.21,0.64,0.57,4.25,4.52,3.98
Josh Green,DAL,4,8.1,50.3,46.5,25.7,0.3,0.6,1.2,0.3,0.4,0.6,39.5,60.5,0.03,1.6,1.2,2.8,10814,420.78,2.05,1.08,0.96,4.45,4.58,4.32
Haywood Highsmith,MIA,3.4,8,42.5,47,18,0.3,0.8,1.4,0.2,0.1,0.3,72.2,27.8,0.02,2,1.5,3.5,7481,415.61,1.42,0.76,0.66,4.41,4.68,4.15
Jay Huff,WAS,4.2,8,52.1,50.1,13.6,1.9,4.3,0.7,0.1,0.1,0.3,50,50,0,4.1,1.6,5.7,5303.3,389.95,1,0.52,0.49,4.07,4.23,3.91
Saddiq Bey,ATL,4.2,8,52.2,47.5,27.6,0.3,0.6,1.5,0.3,0.4,0.8,44.1,55.9,0,1.9,1.4,3.3,10675.4,386.79,2.02,1.05,0.97,4.1,4.28,3.91
Jeff Green,DEN,3.8,8,47.4,47.1,19.5,0.9,2.2,0.4,0,0.1,0.1,28.6,71.4,0.13,2.6,1.8,4.5,7016.2,359.81,1.33,0.71,0.62,3.82,4.01,3.62
Bones Hyland,LAC,3.8,8,48.2,46.1,19.4,0.1,0.3,1.1,0.2,0.2,0.5,48,52,0,1,1.4,2.4,7591.4,391.31,1.44,0.79,0.65,4.15,4.49,3.79
Gary Harris,ORL,3.8,8,47.6,48.1,24.7,0.3,0.7,2,0.1,0.3,0.4,36.8,63.2,0,1,1.4,2.4,9760.3,395.15,1.85,0.93,0.92,4.22,4.33,4.11
Julian Champagnie,SAS,4,7.9,50.4,47.5,18.8,0.1,0.1,0.9,0.1,0.2,0.2,25,75,0,1.4,1.5,2.8,7655.1,407.19,1.45,0.82,0.63,4.62,5.09,4.12
AJ Griffin,ATL,3.8,7.9,48.3,46.6,19.5,0.2,0.4,0.9,0.2,0.2,0.4,48.4,51.6,0,1.4,1.5,2.9,8386.3,430.07,1.59,0.85,0.74,4.56,4.96,4.17
Nikola Jovic,MIA,4.7,7.9,58.9,49.1,13.6,1.1,2.5,0.5,0.3,0.1,0.4,66.7,33.3,0.07,2.2,0.5,2.7,5507.7,404.98,1.04,0.57,0.47,4.3,4.76,3.89
Blake Griffin,BOS,3.9,7.9,49.1,47.8,13.9,1.5,3.5,0.8,0.3,0.1,0.4,73.3,26.7,0.37,2.2,1.5,3.8,4916.3,353.69,0.93,0.51,0.42,3.79,3.94,3.6
Cory Joseph,DET,4,7.9,50.4,45.9,19.8,0.3,0.8,0.9,0.2,0.2,0.4,47.8,52.2,0.03,1.7,1.7,3.5,8196,413.94,1.55,0.84,0.71,4.36,4.65,4.06
Landry Shamet,PHX,3.7,7.8,46.7,46.6,20.2,0.1,0.3,1.5,0.1,0.1,0.2,25,75,0.03,1.7,1.7,3.4,8534.1,422.48,1.62,0.91,0.7,4.47,5.06,3.88
Malaki Branham,SAS,4.1,7.8,51.7,47,23.5,0.1,0.2,0.8,0.1,0.2,0.4,40,60,0,1.5,1.4,2.9,9823.2,418.01,1.86,1.03,0.83,4.44,4.92,3.97
John Wall,LAC,3.8,7.8,48.5,46,22.2,0.1,0.2,1.7,0.2,0.1,0.3,60,40,0.06,1.3,0.6,1.9,7839.1,353.11,1.48,0.8,0.69,3.7,3.99,3.4
Norman Powell,LAC,3.8,7.8,48.9,46.4,26.1,0.2,0.5,1.5,0.2,0.3,0.4,38.5,61.5,0,1.8,1.6,3.4,10274.1,393.64,1.95,1.06,0.89,4.13,4.44,3.8
Charles Bassey,SAS,3.5,7.8,44.7,49.9,14.5,2.1,4.9,1,0.2,0.1,0.3,54.5,45.5,0,3,0.7,3.7,5781.7,398.74,1.1,0.58,0.51,4.18,4.51,3.86
Luke Kennard,MEM,3.6,7.8,46.6,46.4,22.3,0.4,0.9,0.9,0.1,0.3,0.4,37.5,62.5,0.02,1.9,1.5,3.3,8818.5,395.45,1.67,0.9,0.77,4.18,4.55,3.81
David Roddy,MEM,3.4,7.8,44.1,46.6,18,0.1,0.4,0.7,0.2,0.1,0.3,54.5,45.5,0.06,1.5,1.8,3.3,7195.7,399.76,1.36,0.71,0.65,4.23,4.43,4.03
Dominick Barlow,SAS,3.6,7.8,46.1,48.7,14.6,1.2,2.6,0.8,0.3,0.1,0.4,72.7,27.3,0.04,3.7,1.4,5.1,5929.5,406.13,1.12,0.61,0.52,4.46,4.84,4.08
Ziaire Williams,MEM,3.4,7.7,43.9,45.6,15.2,0.2,0.5,0.8,0,0.1,0.1,25,75,0,1.5,1.8,3.4,6061.3,398.77,1.15,0.57,0.57,4.22,4.37,4.08
Kenrich Williams,OKC,3.8,7.7,49.6,47.1,22.8,0.6,1.3,1.6,0.3,0.3,0.6,52.9,47.1,0.49,2.2,1.5,3.7,9217.1,404.26,1.75,0.91,0.83,4.29,4.64,3.97
Gorgui Dieng,SAS,4,7.7,51.6,49.2,11.6,1.6,3.5,0.9,0.1,0,0.1,75,25,0.16,2.5,0.7,3.2,4107.8,354.12,0.78,0.42,0.35,3.84,4.16,3.51
Dean Wade,CLE,3.6,7.7,46.7,47.4,20.3,0.4,1.1,1.1,0.2,0.2,0.3,50,50,0.05,3.3,1.2,4.6,7940.4,391.15,1.5,0.79,0.71,4.14,4.26,4.02
Damion Lee,PHX,3.8,7.7,49.1,46.7,20.4,0.2,0.4,0.6,0.1,0.1,0.3,52.4,47.6,0,1.1,1.4,2.5,8441.3,413.79,1.6,0.89,0.71,4.36,4.74,3.97
Ty Jerome,GSW,3.9,7.7,50.3,45.7,18.1,0.2,0.6,1,0.1,0.1,0.2,37.5,62.5,0.04,1.3,1,2.4,7012.1,387.41,1.33,0.76,0.57,4.08,4.59,3.55
