PLAYER,TEAM,DFGM,DFGA,DFG%,FG%,MIN,SCREEN ASSISTS,SCREEN ASSISTS PTS,DEFLECTIONS,OFF LOOSE BALLS RECOVERED,DEF LOOSE BALLS RECOVERED,LOOSE BALLS RECOVERED,RECOVERED OFF,RECOVERED DEF,CHARGES DRAWN,CONTESTED 2PT SHOTS,CONTESTED 3PT SHOTS,TOTAL CONTESTED SHOTS,DIST. FEET,FEET PER MIN,DIST. MILES,DIST. MILES OFF,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF
James Harden,PHI,6,12.8,46.3,46.9,36.8,0.1,0.2,2,0.4,0.4,0.8,53.3,46.7,0.05,1.9,2.6,4.5,12263.1,333.24,2.32,1.28,1.05,3.55,3.84,3.24
Jalen Duren,DET,6.2,12.8,48.7,49.1,24.9,3.8,8.3,1,0.2,0.2,0.5,50,50,0,5.7,2.3,8,9858.6,395.93,1.87,0.98,0.89,4.16,4.26,4.06
Dillon Brooks,MEM,5.6,12.7,44.3,47,30.3,0.4,0.9,2.1,0.1,0.3,0.4,33.3,66.7,0.01,1.7,2.1,3.8,11587,382.41,2.19,1.09,1.11,4.05,4.11,3.99
Giannis Antetokounmpo,MIL,5.3,12.7,42,48.5,32.1,1.8,4.1,1.5,0.6,0.4,0.9,60.3,39.7,0.05,4.3,2.2,6.6,11953.3,372.38,2.26,1.25,1.02,3.95,4.43,3.49
Derrick White,BOS,5.7,12.7,44.4,46.9,28.3,0.4,1,1.6,0.1,0.2,0.4,37.5,62.5,0.16,4.1,2.1,6.2,10846.1,383.25,2.05,1.11,0.95,4.09,4.41,3.77
Onyeka Okongwu,ATL,5.9,12.6,46.8,48.9,23.1,4,8.9,1.3,0.3,0.2,0.5,59,41,0.01,6.5,1.6,8.1,9020.5,390.50,1.71,0.88,0.83,4.14,4.33,3.96
Terry Rozier,CHA,6.6,12.6,52.4,46.9,35.3,0.2,0.5,1.7,0.4,0.4,0.8,52,48,0.03,1.5,1.9,3.4,14298.6,405.06,2.71,1.5,1.21,4.33,4.79,3.87
Jalen Brunson,NYK,6.2,12.6,49.2,45.6,35,0.4,1.1,1.5,0.5,0.3,0.9,61.7,38.3,0.4,1.9,3.3,5.3,13748.8,392.82,2.6,1.49,1.11,4.17,4.6,3.71
De'Andre Hunter,ATL,5.8,12.6,46.5,47,31.7,0.5,1.1,1.4,0.2,0.2,0.4,53.8,46.2,0.06,2.6,3.1,5.7,12092.4,381.46,2.29,1.23,1.06,4.05,4.42,3.68
Josh Giddey,OKC,6.2,12.6,49,47.5,31.1,0.2,0.5,1.4,0.3,0.2,0.5,54.3,45.7,0.01,2.1,2.5,4.5,12674.1,407.53,2.4,1.28,1.12,4.34,4.75,3.94
Jamal Murray,DEN,6.2,12.4,49.8,46.5,32.8,0.4,0.9,1.9,0.3,0.4,0.7,46.8,53.2,0.08,2.5,2.7,5.2,12862.6,392.15,2.44,1.35,1.09,4.17,4.61,3.73
Anthony Edwards,MIN,5.8,12.4,46.6,46.8,36,0,0.1,2.6,0.3,0.3,0.6,51,49,0,2.2,2.3,4.5,13490.3,374.73,2.55,1.36,1.2,3.96,4.28,3.65
Luguentz Dort,OKC,5.6,12.4,45.4,46.7,30.7,0.2,0.5,1.6,0.3,0.5,0.8,40.7,59.3,0.08,2.3,2.9,5.1,12220.5,398.06,2.31,1.21,1.1,4.23,4.56,3.92
Tyler Herro,MIA,6,12.3,48.4,46.6,34.9,0.3,0.6,1.3,0.2,0.3,0.5,39.4,60.6,0,2.3,2.3,4.6,13990.9,400.89,2.65,1.45,1.2,4.27,4.63,3.9
Zion Williamson,NOP,5.2,12.3,42.4,46.8,33,0.9,2.1,2.1,0.5,0.3,0.8,58.3,41.7,0,2.1,2.6,4.8,13026.6,394.75,2.47,1.34,1.12,4.19,4.67,3.74
Drew Eubanks,POR,6.1,12.3,49.6,49.4,20.3,3.3,7.7,1.2,0.3,0.1,0.4,70,30,0.1,5.1,1.1,6.2,7909.3,389.62,1.5,0.81,0.69,4.16,4.39,3.91
Kyle Kuzma,WAS,5.4,12.2,44.3,47.6,35,0.4,0.9,1,0.3,0.3,0.6,47.2,52.8,0.08,3.2,1.9,5.2,13517.3,386.21,2.56,1.42,1.14,4.09,4.44,3.73
Dejounte Murray,ATL,6.2,12.2,50.7,47.5,36.4,0.1,0.3,3.1,0.4,0.4,0.8,45.8,54.2,0,2,1.5,3.5,14148.2,388.69,2.68,1.47,1.21,4.14,4.57,3.71
Kawhi Leonard,LAC,5.4,12.2,44.5,47.8,33.6,0.4,0.9,2.8,0.5,0.2,0.7,66.7,33.3,0.02,3.2,2.5,5.7,13066.6,388.89,2.47,1.37,1.1,4.12,4.48,3.76
Christian Wood,DAL,5.9,12.2,48.5,48,25.9,1.7,3.9,0.6,0.2,0.3,0.5,42.4,57.6,0,5.8,1.9,7.7,9450.1,364.87,1.79,0.95,0.84,3.86,3.99,3.73
De'Anthony Melton,PHI,6,12.1,49.6,46.8,27.9,0.3,0.7,3,0.4,0.3,0.7,53.8,46.2,0,1.9,2,4,11037.3,395.60,2.09,1.11,0.98,4.21,4.38,4.02
Dennis Schroder,LAL,5.6,12.1,46.4,46.3,29.6,0.3,0.7,1.6,0.3,0.3,0.6,55,45,0.15,1.9,1.8,3.7,11591.9,391.62,2.2,1.14,1.06,4.16,4.32,4
Bruce Brown,DEN,5.4,12,44.9,46.5,28.5,0.2,0.5,2.1,0.2,0.3,0.5,46.2,53.8,0,2.6,2.4,5,10854.7,380.87,2.06,1.11,0.94,4.04,4.37,3.71
DeMar DeRozan,CHI,5.7,11.9,48.1,47.5,36.2,0.1,0.3,1.8,0.3,0.3,0.6,47.7,52.3,0.18,2.1,2.7,4.8,12703.9,350.94,2.41,1.3,1.1,3.79,4.2,3.39
Daniel Gafford,WAS,5.8,11.9,48.5,50.6,20.6,3.1,6.7,1,0.3,0.2,0.5,55.3,44.7,0.01,6,1.3,7.3,8091.5,392.79,1.53,0.82,0.72,4.18,4.31,4.05
Immanuel Quickley,NYK,5.2,11.9,44.1,45.8,28.9,0.2,0.5,1.6,0.3,0.4,0.6,40,60,0.01,2.7,2.5,5.3,11584.3,400.84,2.19,1.2,0.99,4.23,4.53,3.92
Jayson Tatum,BOS,5.6,11.8,47.3,46.9,36.9,0.8,2,2.1,0.5,0.4,0.9,54.5,45.5,0,2.7,2.4,5.2,13072.9,354.28,2.48,1.36,1.12,3.76,4.11,3.42
Kevin Huerter,SAC,6.1,11.8,51.5,46.9,29.4,0.3,0.7,2.1,0.3,0.2,0.5,54.1,45.9,0,2.8,2.1,4.9,12000.5,408.18,2.27,1.23,1.05,4.35,4.82,3.9
Herbert Jones,NOP,5.4,11.7,46.2,47.9,29.6,0.5,1.3,3.4,0.3,0.4,0.7,44.9,55.1,0.29,3.2,2.9,6.2,11766.7,397.52,2.23,1.16,1.07,4.24,4.51,3.98
